id,count
0,102.33111
1,235.32053
2,67.65216
4,111.985634
5,101.44572
10,141.98946
11,151.14513
12,214.34288
15,79.15884
17,31.370861
18,225.63031
23,217.03925
25,178.77605
26,89.661865
31,202.02058
39,193.33147
40,63.993526
41,135.88025
42,223.65536
43,185.14496
51,222.98096
52,73.97439
54,96.41385
60,174.48514
61,197.78285
62,159.9255
63,57.44511
65,147.56049
66,135.18475
68,192.48013
71,63.965473
80,98.2694
82,97.078514
94,194.03758
98,211.41727
101,94.065605
102,181.41452
107,103.15511
112,228.99786
113,86.90431
115,17.218626
116,171.82785
120,97.307205
121,86.35023
122,230.83693
132,179.3757
143,50.558918
147,88.873604
150,78.50222
151,78.106384
152,216.68436
153,99.73726
155,86.98952
156,108.65289
159,204.42798
161,93.93838
163,91.49258
177,182.8836
186,96.3436
188,75.59235
190,90.257904
191,103.64511
192,185.21892
195,220.44156
200,187.66733
209,217.71815
210,79.96902
211,239.26405
214,183.69644
215,98.18727
218,160.66814
219,54.217552
222,109.077324
225,71.34546
228,231.92056
236,216.29266
241,86.77906
242,190.74277
243,229.15826
245,81.421745
247,221.41747
251,199.87314
252,92.51242
253,78.94469
254,86.07563
258,216.06293
260,73.69792
261,188.61272
265,76.624626
266,211.14453
267,207.2573
269,177.1372
270,89.67423
275,157.39952
278,90.663445
279,64.741035
286,116.780624
287,72.22026
288,207.7259
289,186.38927
293,92.13421
294,190.73763
297,-11.644949
302,120.881454
303,81.085236
304,107.19126
307,147.15854
309,73.57697
311,211.49701
312,131.30704
314,213.89961
315,222.93802
319,198.24417
322,165.73279
323,75.991356
325,196.71579
327,211.1957
330,73.74705
332,207.42726
333,88.4665
338,166.25449
341,90.37075
345,140.71191
348,169.75336
349,105.25123
350,132.25867
352,58.969627
355,60.30023
356,192.77129
358,78.509445
363,184.92401
369,201.23761
371,80.10661
372,205.32956
375,224.40709
380,198.3505
388,91.63409
391,201.71078
392,193.46071
393,223.30298
394,98.9026
396,71.91013
401,71.91571
407,57.68139
409,91.44848
410,143.79301
416,126.748146
418,132.70572
420,200.4052
421,216.33127
422,201.99115
424,228.45311
428,203.46034
429,219.88153
431,179.37961
435,13.898644
439,118.81043
441,49.359394
447,87.954475
449,204.57193
451,214.16353
452,92.80377
454,187.60573
458,218.18459
463,185.26193
467,84.92686
470,131.35696
471,164.35132
474,215.44785
478,102.8978
483,118.7073
484,170.99799
485,90.541405
486,179.43538
491,137.89948
494,113.70328
495,198.86282
497,191.10342
499,221.09454
515,151.38977
518,195.02783
521,109.7151
525,208.64182
529,208.66905
532,180.34578
534,77.04517
540,85.627884
544,227.21553
547,192.72798
549,99.44723
563,69.3483
564,211.27446
567,123.93972
572,170.63171
577,188.70218
578,229.22937
585,218.84914
588,209.97098
589,184.61513
590,144.0699
592,93.5895
594,133.16422
596,85.87471
598,217.3557
599,189.63689
605,96.83346
606,168.0266
607,203.61218
608,201.66756
609,82.83005
610,206.84567
611,115.555626
614,186.50168
615,185.18277
616,204.38326
617,169.15794
618,197.80353
624,127.83606
629,195.42134
631,107.89208
633,102.244774
637,90.555336
638,159.24922
643,55.64086
644,184.15933
645,77.10738
646,184.71532
648,174.85567
650,85.41636
651,113.02055
652,229.24237
656,169.76921
657,104.90351
659,87.2622
660,179.76097
662,156.34908
665,220.06914
675,232.35175
681,171.712
682,193.79497
685,73.8492
686,210.46638
689,84.6009
696,169.19926
703,193.45811
704,136.57582
705,170.11322
714,194.10202
717,86.17035
718,96.93398
720,87.58336
721,227.06195
723,201.43625
726,108.67501
728,194.1742
730,113.54027
731,93.88705
734,230.89523
737,71.33398
738,86.6322
745,217.0761
746,91.00187
749,192.65341
752,82.02151
753,95.58035
758,194.56314
765,104.42426
766,211.44202
768,80.68973
769,207.5526
774,190.88716
775,130.8062
781,72.8821
784,214.31702
794,115.161995
795,224.49858
796,83.983955
802,127.789856
803,115.98897
805,79.58879
806,219.3237
807,143.60461
809,68.603516
810,209.66196
812,103.31205
814,122.551414
818,201.55046
819,222.78586
825,-6.891721
836,107.03335
839,177.46234
847,218.82301
848,101.77697
851,191.49504
852,181.68768
853,47.318512
857,193.17332
858,105.93498
859,201.36435
861,3.1945932
867,159.41187
870,191.15294
871,212.39442
872,232.99089
874,233.75246
881,221.23889
886,176.82855
890,66.219376
895,186.64438
899,84.72584
900,211.78148
901,216.51051
902,208.86545
903,94.50043
913,223.18176
918,219.20415
923,175.06982
924,80.92861
926,70.92332
927,88.0146
930,187.7597
934,65.29757
937,185.00264
939,155.17014
941,101.85197
942,232.75342
946,209.671
950,141.80455
953,89.37127
959,50.039433
961,61.438587
962,102.674805
964,96.62768
969,181.08783
971,169.19707
976,80.2801
978,201.92505
980,212.95673
981,185.82776
990,224.68674
993,78.15988
996,88.62704
998,227.299
999,200.72298
1006,169.91443
1008,92.34411
1013,90.73853
1015,133.10197
1016,178.41925
1022,219.47156
1026,197.62566
1028,222.97485
1031,28.05509
1034,87.57594
1037,213.73892
1040,105.63047
1042,85.61327
1046,115.16215
1048,133.64572
1049,166.0965
1050,85.99784
1051,209.26746
1052,208.11667
1055,112.604576
1060,178.6838
1064,113.09986
1066,81.87176
1071,178.57564
1073,89.29892
1089,203.45894
1091,140.54454
1092,74.7268
1093,210.28705
1096,216.51053
1097,190.8833
1098,70.84885
1099,90.34399
1102,222.64223
1107,102.60129
1109,97.12797
1111,47.79705
1112,155.34593
1114,238.74309
1116,214.24492
1117,181.57816
1118,91.43719
1122,185.5377
1124,192.48105
1127,117.986755
1133,213.7221
1134,81.72247
1135,174.54895
1139,217.99814
1143,80.40911
1150,107.27839
1151,144.83347
1153,217.91406
1155,81.088295
1162,78.46232
1163,188.7729
1166,8.480094
1171,89.3915
1172,72.789444
1173,216.02847
1174,108.10372
1177,128.20798
1178,114.7139
1184,108.08871
1185,154.0823
1186,109.93401
1187,210.64856
1188,224.9845
1191,187.57883
1207,139.19421
1213,101.284294
1215,186.4251
1223,215.8858
1227,156.22081
1236,77.17384
1237,58.964195
1238,112.533295
1241,72.54468
1248,90.49782
1250,76.6994
1251,202.84839
1253,118.4927
1255,145.06529
1257,217.85185
1261,126.167656
1262,218.16254
1265,174.14606
1273,217.69458
1277,204.25339
1278,153.33528
1280,109.334984
1284,174.66693
1285,232.49666
1288,104.883965
1295,146.80385
1297,239.63693
1299,217.4046
1304,186.58821
1308,83.28052
1310,138.93938
1311,164.80534
1314,99.05416
1315,148.54129
1318,24.554544
1320,235.45108
1321,213.39151
1322,190.6684
1330,175.97905
1333,200.62572
1334,182.95787
1341,190.1493
1344,163.2629
1351,201.01555
1354,72.87356
1356,87.8609
1363,159.95483
1365,199.39798
1369,172.79446
1373,122.719536
1375,160.16322
1377,69.52161
1379,202.23268
1380,214.22807
1381,123.53951
1384,181.4904
1390,204.40343
1393,208.59454
1395,75.62319
1399,211.51767
1400,105.03685
1401,121.33069
1404,203.95819
1408,88.3639
1409,22.2657
1413,188.46004
1416,205.75117
1418,134.37431
1423,99.03635
1424,72.06636
1425,78.11131
1433,227.21936
1434,180.29611
1436,218.89673
1442,206.92612
1444,73.764626
1445,181.83827
1452,202.86784
1455,200.73927
1462,93.37339
1467,28.287489
1472,96.683266
1475,120.52093
1493,164.46567
1501,196.27762
1503,214.09366
1504,222.16058
1505,67.19319
1511,219.82257
1512,72.99928
1513,165.27171
1514,111.57394
1528,213.3612
1533,233.82259
1534,72.03664
1536,190.5936
1537,77.08897
1539,124.6002
1550,195.4137
1552,187.67331
1554,205.56334
1555,220.33951
1556,63.816463
1559,74.44654
1563,208.85973
1566,206.7583
1567,124.25242
1568,85.46817
1571,197.88893
1572,75.02325
1574,68.73153
1577,98.82632
1583,73.807495
1585,99.83297
1586,198.5321
1587,206.93182
1596,185.93767
1602,82.614075
1604,101.37571
1605,70.076515
1610,224.98145
1611,141.80907
1616,100.46604
1617,156.68794
1618,79.28225
1622,67.735374
1623,63.82279
1628,222.27408
1631,62.073254
1632,208.48558
1633,199.31277
1634,214.608
1636,211.0862
1637,170.99036
1643,102.93681
1644,157.25578
1646,121.16268
1648,199.40991
1651,99.3392
1656,73.82501
1658,160.47977
1659,75.42264
1665,107.83839
1666,158.49231
1670,115.14148
1674,177.80379
1679,223.29973
1680,220.01071
1683,231.89137
1686,73.005104
1691,150.68883
1693,71.14868
1696,97.10406
1697,137.58261
1703,102.54893
1706,69.56812
1709,195.40796
1710,94.766426
1712,200.43661
1713,172.856
1718,226.10196
1719,202.22784
1722,215.71008
1723,169.59656
1724,225.09377
1728,67.502335
1730,101.59903
1732,72.28184
1737,55.040936
1745,68.431206
1747,94.67736
1748,95.64924
1755,139.96922
1759,97.11106
1761,212.26894
1764,187.91068
1765,197.51028
1766,65.524666
1768,77.062225
1770,88.83578
1771,182.51938
1774,123.95109
1785,184.40988
1788,227.25162
1792,90.411674
1794,194.36696
1797,157.55418
1798,62.118843
1799,231.27307
1802,146.83862
1806,83.69559
1808,95.454155
1810,211.2417
1818,30.910807
1819,229.21098
1820,227.10901
1822,199.06114
1826,218.61182
1827,181.0567
1835,97.59008
1841,141.92917
1842,135.95361
1843,113.54131
1846,66.40659
1849,73.4681
1850,227.81
1851,130.69443
1857,77.08958
1858,180.33603
1860,129.12701
1861,204.23146
1864,101.25651
1869,216.71661
1871,106.01389
1872,19.53198
1875,73.47186
1878,234.2989
1879,211.39742
1885,57.498913
1888,118.5187
1889,62.39461
1890,145.16638
1896,158.68185
1897,220.76666
1898,175.228
1900,105.471275
1905,89.67736
1908,107.25567
1909,155.8615
1913,95.51127
1918,132.07355
1922,237.50177
1923,177.19899
1925,211.4682
1926,161.2691
1927,222.65543
1930,198.64044
1935,92.882095
1939,120.63152
1942,135.27205
1943,181.71884
1948,238.60185
1949,207.90208
1951,147.87242
1953,146.11102
1959,189.16296
1963,82.63897
1967,180.58484
1973,200.87437
1975,99.6631
1976,62.399258
1990,146.19601
1993,140.44902
1997,91.10924
1999,178.27742
2001,196.01245
2004,76.428154
2010,140.08925
2013,178.10287
2017,226.20984
2021,129.95233
2023,85.40981
2026,199.50139
2037,80.8612
2039,97.818634
2041,75.12721
2046,73.64956
2050,102.369026
2060,202.90504
2067,150.06175
2069,186.98877
2072,207.85571
2074,195.6355
2079,155.78876
2083,88.039246
2085,106.11591
2087,72.067215
2093,180.0824
2094,87.35531
2097,96.125305
2103,118.93946
2104,76.46497
2107,222.49664
2108,60.33232
2110,35.147224
2115,215.47249
2117,80.878235
2125,221.48854
2127,233.20882
2133,66.88586
2134,234.3903
2135,150.38722
2141,212.27344
2143,81.72921
2145,66.19251
2146,110.725975
2147,201.11081
2148,102.59197
2149,63.36869
2165,136.11484
2166,188.92125
2177,117.01423
